,empty_road_detection_result,latency_stage1,latency_stage2,latency_whole
18001,0,0.018534183502197266,0.00042707198858261107,0.01909184455871582
18002,0,0.012714624404907227,0.0004058879911899567,0.013240575790405273
18003,0,0.012220382690429688,0.00038431999087333677,0.012722969055175781
18004,0,0.012218475341796875,0.0004092479944229126,0.012745857238769531
18005,0,0.012682199478149414,0.00040726399421691896,0.01320791244506836
18006,0,0.01203298568725586,0.0003888640105724335,0.012549161911010742
18007,0,0.012155771255493164,0.0003877440094947815,0.012669801712036133
18008,0,0.012131452560424805,0.00039027199149131774,0.012652158737182617
18009,0,0.01201486587524414,0.00038431999087333677,0.01252126693725586
18010,0,0.012151718139648438,0.0004169600009918213,0.01268911361694336
18011,0,0.012323617935180664,0.0003834879994392395,0.012833118438720703
18012,0,0.012650489807128906,0.00039840000867843626,0.013169288635253906
18013,0,0.012737274169921875,0.0004174399971961975,0.013274669647216797
18014,0,0.012195825576782227,0.00040374401211738586,0.012718915939331055
18015,0,0.011986970901489258,0.0003830080032348633,0.012493371963500977
18016,0,0.012124061584472656,0.00039616000652313235,0.012650251388549805
18017,0,0.011960983276367188,0.00040723198652267456,0.012486934661865234
18018,0,0.012060165405273438,0.0003789440095424652,0.01259303092956543
18019,0,0.012178659439086914,0.00041337600350379943,0.012708902359008789
18020,0,0.012056112289428711,0.0005511360168457031,0.012729644775390625
18021,0,0.012758493423461914,0.0006234560012817383,0.013512134552001953
18022,0,0.012039899826049805,0.0006693440079689025,0.012828588485717773
18023,0,0.012356281280517578,0.0006719679832458496,0.013145208358764648
18024,0,0.012244224548339844,0.0006665599942207337,0.013049840927124023
18025,0,0.01259469985961914,0.0007195519804954529,0.013435125350952148
18026,0,0.012274503707885742,0.0007210239768028259,0.013126134872436523
18027,0,0.012521028518676758,0.0006930879950523376,0.013340234756469727
18028,0,0.012787580490112305,0.0006721280217170715,0.01357889175415039
18029,0,0.012547492980957031,0.0006632000207901001,0.013330936431884766
18030,0,0.012228012084960938,0.0006720640063285827,0.013027667999267578
18031,0,0.012355327606201172,0.0007456640005111694,0.013226985931396484
18032,0,0.012151956558227539,0.0007579200267791748,0.013026714324951172
18033,0,0.012231111526489258,0.0006737920045852661,0.013033151626586914
18034,0,0.012406110763549805,0.0007044479846954345,0.013235092163085938
18035,0,0.012257575988769531,0.0006576319932937622,0.013039827346801758
18036,0,0.01242518424987793,0.000658847987651825,0.013207674026489258
18037,0,0.012274980545043945,0.0006840959787368775,0.013085603713989258
18038,0,0.01255941390991211,0.0006840000152587891,0.013370513916015625
18039,0,0.012237787246704102,0.0006359680294990539,0.013001680374145508
18040,1,0.012248754501342773,0.046263168334960934,0.05862307548522949
18041,1,0.012866973876953125,0.046819808959960935,0.05979657173156738
18042,0,0.012519359588623047,0.000676576018333435,0.013329029083251953
18043,0,0.01284337043762207,0.0006483520269393921,0.013611316680908203
18044,1,0.01264333724975586,0.047071998596191406,0.05982494354248047
18045,1,0.012233257293701172,0.04624556732177734,0.05860161781311035
18046,1,0.01285243034362793,0.04678108978271484,0.05975008010864258
18047,1,0.012285232543945312,0.04582633590698242,0.05823230743408203
18048,0,0.01248025894165039,0.0006200640201568604,0.013230085372924805
18049,0,0.012481212615966797,0.0005685759782791137,0.013162612915039062
18050,1,0.012049198150634766,0.046164031982421874,0.0583338737487793
18051,1,0.01251673698425293,0.04758915328979492,0.06022477149963379
18052,1,0.012486696243286133,0.04698303985595703,0.059586524963378906
18053,1,0.012197017669677734,0.04917462539672852,0.06149101257324219
18054,1,0.012696504592895508,0.048425216674804684,0.061234474182128906
18055,1,0.012546062469482422,0.046776927947998044,0.05943179130554199
18056,1,0.012491941452026367,0.047110240936279295,0.059721946716308594
18057,1,0.012542963027954102,0.04668832015991211,0.0593419075012207
18058,1,0.012715578079223633,0.04644502258300781,0.05927085876464844
18059,1,0.013413667678833008,0.04586368179321289,0.05939936637878418
18060,1,0.014531373977661133,0.03126457595825195,0.04590106010437012
18061,1,0.014606714248657227,0.03779769515991211,0.052509307861328125
18062,1,0.014486551284790039,0.031814176559448244,0.046404361724853516
18063,1,0.014071464538574219,0.03197135925292969,0.04614853858947754
18064,1,0.016628503799438477,0.04790307235717774,0.06463956832885742
18065,1,0.012615203857421875,0.04776736068725586,0.06047630310058594
18066,1,0.012661933898925781,0.04772496032714844,0.0604853630065918
18067,1,0.014652013778686523,0.03509356689453125,0.04984784126281738
18068,1,0.014722108840942383,0.034828929901123046,0.04965567588806152
18069,1,0.01417231559753418,0.061582462310791015,0.07585692405700684
18070,1,0.012773275375366211,0.04744713592529297,0.060334205627441406
